encoding,brand,name
775,Maruti,800 AC
1041,Maruti,Wagon R LXI Minor
505,Hyundai,Verna 1.6 SX
118,Datsun,RediGO T Option
279,Honda,Amaze VX i-DTEC
812,Maruti,Alto LX BSIII
545,Hyundai,Xcent 1.2 Kappa S
1256,Tata,Indigo Grand Petrol
390,Hyundai,Creta 1.6 VTVT S
834,Maruti,Celerio Green VXI
75,Chevrolet,Sail 1.2 Base
1354,Toyota,Corolla Altis 1.8 VL CVT
861,Maruti,Ciaz VXi Plus
496,Hyundai,Venue SX Opt Diesel
69,Chevrolet,Enjoy TCDi LTZ 7 Seater
610,Jaguar,XF 2.2 Litre Luxury
1093,Mercedes-Benz,New C-Class 220 CDI AT
1021,Maruti,Vitara Brezza ZDi Plus AMT
20,Audi,Q5 2.0 TDI
313,Honda,City V MT
1334,Tata,Tigor 1.2 Revotron XT
12,Audi,A6 2.0 TDI  Design Edition
1094,Mercedes-Benz,New C-Class C 220 CDI Avantgarde
1197,Skoda,Superb Ambition 2.0 TDI CR AT
1360,Toyota,Corolla Altis G AT
1398,Toyota,Innova 2.5 G (Diesel) 7 Seater
614,Jeep,Compass 1.4 Sport Plus BSIV
1084,Mercedes-Benz,E-Class E 200 CGI Elegance
557,Hyundai,i10 Magna 1.1L
28,BMW,3 Series 320d Sport Line
24,Audi,Q7 35 TDI Quattro Premium
407,Hyundai,Elantra CRDi S
675,Mahindra,Scorpio 1.99 S10
320,Honda,City i DTEC V
1049,Maruti,Wagon R VXI BS IV with ABS
1048,Maruti,Wagon R VXI BS IV
686,Mahindra,Scorpio LX
476,Hyundai,Santro Xing GLS
432,Hyundai,Grand i10 1.2 Kappa Asta
814,Maruti,Alto LXi
972,Maruti,Swift Dzire VDI Optional
870,Maruti,Eeco 5 Seater AC BSIV
606,Hyundai,i20 Sportz 1.4 CRDi
923,Maruti,Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER
1009,Maruti,Swift ZDi BSIV
583,Hyundai,i20 2015-2017 Sportz Option 1.4 CRDi
647,Mahindra,Jeep CL 500 MDI
321,Honda,City i DTEC VX
1217,Tata,Indica DLS
402,Hyundai,EON Magna Plus
1370,Toyota,Etios GD
99,Chevrolet,Tavera Neo LS B3 - 7(C) seats BSIII
1356,Toyota,Corolla Altis Diesel D4DG
677,Mahindra,Scorpio 1.99 S6 Plus
1251,Tata,Indigo Classic Dicor
1414,Toyota,Innova 2.5 V Diesel 8-seater
1235,Tata,Indica Vista Quadrajet LS
954,Maruti,Swift 1.3 VXi
154,Ford,EcoSport 1.5 Diesel Titanium BSIV
848,Maruti,Ciaz 1.3 Delta
341,Honda,Civic 1.8 V AT
563,Hyundai,i10 Sportz 1.2
1185,Skoda,Rapid 1.5 TDI Elegance
426,Hyundai,Getz GLS
1120,Nissan,Terrano XL
447,Hyundai,Grand i10 CRDi Sportz
413,Hyundai,Elite i20 Diesel Era
270,Honda,Amaze S i-VTEC
292,Honda,Brio S MT
388,Hyundai,Creta 1.6 SX Option
1097,Mercedes-Benz,S-Class S 350d Connoisseurs Edition
755,Mahindra,XUV500 W8 2WD
1138,Renault,Duster 85PS Diesel RxL Optional
487,Hyundai,Santro Xing XO
625,Mahindra,Bolero 2011-2019 SLE
13,Audi,A6 2.0 TDI Premium Plus
121,Fiat,Avventura MULTIJET Emotion
16,Audi,A8 4.2 TDI
113,Datsun,RediGO 1.0 S
1440,Volkswagen,Jetta 1.4 TSI Comfortline
5,Audi,A4 2.0 TDI 177 Bhp Premium Plus
1088,Mercedes-Benz,E-Class Exclusive E 200 BSIV
36,BMW,X1 sDrive 20d xLine
1487,Volvo,V40 D3 R Design
948,Maruti,SX4 Zxi BSIII
33,BMW,7 Series 730Ld
637,Mahindra,Bolero Power Plus SLX
492,Hyundai,Sonata CRDi M/T
1106,Nissan,Micra Active XV Petrol
762,Mahindra,Xylo D4
420,Hyundai,Elite i20 Sportz Plus Dual Tone BSIV
1154,Renault,KWID RXT
767,Mahindra,Xylo E4 BS III
947,Maruti,SX4 ZXI MT BSIV
375,Hyundai,Creta 1.4 CRDi S
971,Maruti,Swift Dzire VDI
511,Hyundai,Verna 1.6 VTVT AT S Option
687,Mahindra,Scorpio LX BSIV
942,Maruti,SX4 Vxi BSIII
883,Maruti,Ertiga VDI
50,Chevrolet,Beat Diesel
1070,Maruti,Zen LX
823,Maruti,Baleno Delta 1.2
1005,Maruti,Swift Vdi BSIII
1283,Tata,Nano Lx BSIV
1408,Toyota,Innova 2.5 GX (Diesel) 8 Seater
880,Maruti,Ertiga SHVS VDI
380,Hyundai,Creta 1.6 CRDi SX
271,Honda,Amaze S i-Vtech
1228,Tata,Indica Vista Aqua 1.4 TDI
92,Chevrolet,Tavera Neo 2 LS B4 7 Str BSIII
63,Chevrolet,Cruze LTZ
221,Ford,Figo Aspire 1.2 Ti-VCT Titanium Plus
155,Ford,EcoSport 1.5 Diesel Titanium Plus BSIV
562,Hyundai,i10 Sportz 1.1L
782,Maruti,800 Std
85,Chevrolet,Spark 1.0 LS
396,Hyundai,EON Era Plus
1229,Tata,Indica Vista Aqua TDI BSIII
465,Hyundai,Santro LP zipPlus
1206,Tata,Bolt Quadrajet XE
777,Maruti,800 AC BSIII
600,Hyundai,i20 Magna 1.2
566,Hyundai,i20 1.2 Asta
858,Maruti,Ciaz VDi Plus
595,Hyundai,i20 Asta 1.4 CRDi
463,Hyundai,Santro LE
1017,Maruti,Vitara Brezza VDi
486,Hyundai,Santro Xing XL eRLX Euro III
421,Hyundai,Getz 1.3 GLS
669,Mahindra,Quanto C8
96,Chevrolet,Tavera Neo 3 LS 7 C BSIII
1028,Maruti,Wagon R DUO LPG
1034,Maruti,Wagon R LXI
65,Chevrolet,Enjoy 1.3 TCDi LS 8
325,Honda,City i VTEC SV
613,Jaguar,XJ 5.0 L V8 Supercharged
290,Honda,Brio E MT
997,Maruti,Swift VVT ZXI
1244,Tata,Indigo CR4
550,Hyundai,i10 Asta AT
56,Chevrolet,Beat LT
993,Maruti,Swift VDI BSIV
1133,Renault,Duster 110PS Diesel RxZ
479,Hyundai,Santro Xing XG
981,Maruti,Swift Dzire ZXI Plus
804,Maruti,Alto K10 LXI CNG
783,Maruti,800 Std BSII
1280,Tata,Nano LX SE
1189,Skoda,Rapid 1.6 MPI Ambition With Alloy Wheel
806,Maruti,Alto K10 VXI
851,Maruti,Ciaz 1.4 Delta
811,Maruti,Alto LX
591,Hyundai,i20 Asta
1301,Tata,Nexon 1.2 Revotron XM
1058,Maruti,Zen D
1477,Volkswagen,Vento Celeste 1.5 TDI Highline AT
872,Maruti,Eeco 7 Seater Standard BSIV
300,Honda,City 1.5 EXI
949,Maruti,SX4 Zxi with Leather BSIII
233,Ford,Figo Diesel Titanium
973,Maruti,Swift Dzire VDi
764,Mahindra,Xylo E4
898,Maruti,Esteem Vxi - BSIII
572,Hyundai,i20 1.2 Sportz
52,Chevrolet,Beat Diesel LT
64,Chevrolet,Cruze LTZ AT
1111,Nissan,Micra XL
30,BMW,5 Series 520d Luxury Line
397,Hyundai,EON Era Plus Option
136,Fiat,Linea T Jet Emotion
1164,Renault,Scala RxL
237,Ford,Figo Petrol Titanium
865,Maruti,Ciaz ZDi SHVS
1184,Skoda,Rapid 1.5 TDI Ambition BSIV
751,Mahindra,XUV500 W6 2WD
736,Mahindra,XUV300 W8 Option
881,Maruti,Ertiga SHVS ZDI
1119,Nissan,Terrano XE D
933,Maruti,S-Cross Facelift
